assignment_vector,y_obs,rnd_vector,x,x2
-1,1,1,6.5,0
-1,-1,1,6.492498268,0.12749629
1,1,1,6.482498373,0.254698055
1,1,1,6.470008986,0.381556396
1,1,1,6.455039736,0.508022645
1,1,1,6.437601201,0.634048377
-1,-1,1,6.417704903,0.759585431
1,1,1,6.395363304,0.884585931
-1,-1,1,6.370589797,1.0090023
1,1,1,6.343398698,1.132787279
-1,-1,1,6.313805243,1.255893948
-1,-1,1,6.281825574,1.378275741
-1,-1,1,6.247476739,1.499886463
1,1,1,6.210776674,1.62068031
-1,-1,1,6.171744204,1.740611885
-1,-1,1,6.130399026,1.859636214
-1,-1,1,6.086761704,1.977708764
1,1,1,6.04085366,2.094785461
-1,-1,1,5.992697158,2.210822702
-1,-1,1,5.942315302,2.325777377
-1,-1,1,5.88973202,2.439606881
-1,-1,1,5.834972052,2.552269131
1,1,1,5.778060943,2.66372258
1,1,1,5.719025031,2.773926236
1,1,1,5.657891429,2.882839673
1,-1,1,5.594688021,2.990423049
1,1,1,5.529443445,3.096637118
-1,-1,1,5.462187081,3.201443245
1,1,1,5.39294904,3.304803422
-1,-1,1,5.321760146,3.406680278
1,1,1,5.248651928,3.507037096
1,-1,1,5.173656603,3.605837824
1,1,1,5.096807065,3.703047089
1,1,1,5.018136865,3.79863021
-1,-1,1,4.937680203,3.892553206
-1,-1,1,4.85547191,3.984782816
1,1,1,4.771547434,4.075286503
1,1,1,4.685942824,4.16403247
1,1,1,4.598694715,4.250989669
1,1,1,4.509840314,4.336127812
1,1,1,4.419417382,4.419417382
-1,-1,1,4.32746422,4.500829644
-1,-1,1,4.23401965,4.580336653
-1,1,1,4.139123004,4.657911262
-1,-1,1,4.042814101,4.733527136
-1,-1,1,3.945133236,4.807158757
-1,-1,1,3.84612116,4.878781433
-1,1,1,3.745819065,4.948371307
-1,1,1,3.644268564,5.015905365
1,1,1,3.541511679,5.081361441
1,1,1,3.437590817,5.144718226
-1,1,1,3.332548758,5.205955276
-1,-1,1,3.226428637,5.265053015
-1,-1,1,3.119273922,5.321992744
-1,-1,1,3.011128401,5.376756644
1,1,1,2.902036161,5.429327784
1,1,1,2.792041573,5.479690124
1,-1,1,2.681189272,5.52782852
